pair	RANK_MAJOR	RANK_MINOR	TYPE	PDB_ID	BIO_UNIT	CHAIN1	MODEL1	SEQ_IDENT1	COVERAGE1	SEQ_BEGIN1	SEQ_END1	DOMAIN1	CHAIN2	MODEL2	SEQ_IDENT2	COVERAGE2	SEQ_BEGIN2	SEQ_END2	DOMAIN2	FILENAME	orf_name_1	gene_name_1	uniprot_ac_1	orf_name_2	gene_name_2	uniprot_ac_2	orf_name_a	orf_name_b
YDR091C_YPL090C	1	0	Structure	3j16	1	C	0	100.0	95.8	1	226	-	B	0	100.0	100.0	1	608	-	P0CX37-Q03195-EXP-3j16.pdb1-C-0-B-0.pdb	YPL090C	RPS6A	P0CX37	YDR091C	RLI1	Q03195	YDR091C	YPL090C
YBR143C_YDR091C	1	0	Structure	4crm	1	X	0	100.0	64.5	140	421	-	P	0	100.0	100.0	1	608	-	P12385-Q03195-EXP-4crm.pdb1-X-0-P-0.pdb	YBR143C	SUP45	P12385	YDR091C	RLI1	Q03195	YBR143C	YDR091C
YDR091C_YNL001W	1	0	Structure	3j16	1	A	0	100.0	100.0	1	386	-	B	0	100.0	100.0	1	608	-	P33309-Q03195-EXP-3j16.pdb1-A-0-B-0.pdb	YNL001W	DOM34	P33309	YDR091C	RLI1	Q03195	YDR091C	YNL001W
YGL040C_YGL040C	1	0	Structure	1h7n	1	A	5	100.0	99.4	1	340	-	A	7	100.0	99.4	1	340	-	P05373-P05373-EXP-1h7n.pdb1-A-5-A-7.pdb	YGL040C	HEM2	P05373	YGL040C	HEM2	P05373	YGL040C	YGL040C
YDR172W_YDR172W	1	0	Structure	5k2f	1	A	12	100.0	0.9	8	13	-	A	13	100.0	0.9	8	13	-	P05453-P05453-EXP-5k2f.pdb1-A-12-A-13.pdb	YDR172W	SUP35	P05453	YDR172W	SUP35	P05453	YDR172W	YDR172W
YBR143C_YDR172W	1	0	Structure	4crn	1	P	0	100.0	62.8	256	685	-	X	0	99.5	96.6	1	422	-	P05453-P12385-EXP-4crn.pdb1-P-0-X-0.pdb	YDR172W	SUP35	P05453	YBR143C	SUP45	P12385	YBR143C	YDR172W
YLR295C_YPL078C	1	0	Structure	6cp6	1	Z	0	100.0	63.5	88	242	-	6	0	100.0	71.8	36	124	-	P05626-Q12349-EXP-6cp6.pdb1-Z-0-6-0.pdb	YPL078C	ATP4	P05626	YLR295C	ATP14	Q12349	YLR295C	YPL078C
YBL099W_YLR295C	1	0	Structure	6cp6	1	B	0	100.0	92.8	39	544	-	6	0	100.0	71.8	36	124	-	P07251-Q12349-EXP-6cp6.pdb1-B-0-6-0.pdb	YBL099W	ATP1	P07251	YLR295C	ATP14	Q12349	YBL099W	YLR295C
YKL016C_YLR295C	1	0	Structure	6cp6	1	7	0	100.0	98.3	4	174	-	6	0	100.0	71.8	36	124	-	P30902-Q12349-EXP-6cp6.pdb1-7-0-6-0.pdb	YKL016C	ATP7	P30902	YLR295C	ATP14	Q12349	YKL016C	YLR295C
YDR377W_YLR295C	1	0	Structure	6cp6	1	U	0	100.0	84.2	7	91	-	6	0	100.0	71.8	36	124	-	Q06405-Q12349-EXP-6cp6.pdb1-U-0-6-0.pdb	YDR377W	ATP17	Q06405	YLR295C	ATP14	Q12349	YDR377W	YLR295C
YGL076C_YMR242C	1	0	Structure	5z3g	1	J	0	100.0	98.0	6	244	-	W	0	100.0	98.8	2	171	-	P05737-P0CX23-EXP-5z3g.pdb1-J-0-W-0.pdb	YGL076C	RPL7A	P05737	YMR242C	RPL20A	P0CX23	YGL076C	YMR242C
YGL147C_YMR242C	1	0	Structure	5z3g	1	L	0	100.0	100.0	1	191	-	W	0	100.0	98.8	2	171	-	P05738-P0CX23-EXP-5z3g.pdb1-L-0-W-0.pdb	YGL147C	RPL9A	P05738	YMR242C	RPL20A	P0CX23	YGL147C	YMR242C
YBR031W_YGL076C	1	0	Structure	5z3g	1	J	0	100.0	98.0	6	244	-	G	0	100.0	99.7	2	362	-	P05737-P10664-EXP-5z3g.pdb1-J-0-G-0.pdb	YGL076C	RPL7A	P05737	YBR031W	RPL4A	P10664	YBR031W	YGL076C
YBR031W_YLR344W	1	0	Structure	5z3g	1	c	0	100.0	98.4	2	126	-	G	0	100.0	99.7	2	362	-	P05743-P10664-EXP-5z3g.pdb1-c-0-G-0.pdb	YLR344W	RPL26A	P05743	YBR031W	RPL4A	P10664	YBR031W	YLR344W
YBR031W_YLR029C	1	0	Structure	5z3g	1	R	0	86.2	99.5	2	204	-	G	0	100.0	99.7	2	362	-	P05748-P10664-EXP-5z3g.pdb1-R-0-G-0.pdb	YLR029C	RPL15A	P05748	YBR031W	RPL4A	P10664	YBR031W	YLR029C
YBR031W_YMR242C	1	0	Structure	5z3g	1	W	0	100.0	98.8	2	171	-	G	0	100.0	99.7	2	362	-	P0CX23-P10664-EXP-5z3g.pdb1-W-0-G-0.pdb	YMR242C	RPL20A	P0CX23	YBR031W	RPL4A	P10664	YBR031W	YMR242C
YBR031W_YOL120C	1	0	Structure	6em3	1	Q	0	100.0	70.4	15	145	-	C	0	100.0	94.8	2	344	-	P0CX49-P10664-EXP-6em3.pdb1-Q-0-C-0.pdb	YOL120C	RPL18A	P0CX49	YBR031W	RPL4A	P10664	YBR031W	YOL120C
YAL025C_YGL076C	1	0	Structure	6c0f	1	F	0	100.0	99.2	3	244	-	D	0	100.0	62.1	2	191	-	P05737-P10962-EXP-6c0f.pdb1-F-0-D-0.pdb	YGL076C	RPL7A	P05737	YAL025C	MAK16	P10962	YAL025C	YGL076C
YAL025C_YKL180W	1	0	Structure	6c0f	1	P	0	81.6	82.6	10	161	-	D	0	100.0	62.1	2	191	-	P05740-P10962-EXP-6c0f.pdb1-P-0-D-0.pdb	YKL180W	RPL17A	P05740	YAL025C	MAK16	P10962	YAL025C	YKL180W
YAL025C_YOL120C	1	0	Structure	5z3g	1	U	0	100.0	72.0	15	148	-	Z	0	100.0	55.2	2	170	-	P0CX49-P10962-EXP-5z3g.pdb1-U-0-Z-0.pdb	YOL120C	RPL18A	P0CX49	YAL025C	MAK16	P10962	YAL025C	YOL120C
YAL025C_YBR031W	1	0	Structure	6em3	1	C	0	100.0	94.8	2	344	-	3	0	100.0	56.5	2	174	-	P10664-P10962-EXP-6em3.pdb1-C-0-3-0.pdb	YBR031W	RPL4A	P10664	YAL025C	MAK16	P10962	YAL025C	YBR031W
YDR087C_YGL076C	1	0	Structure	5z3g	1	J	0	100.0	98.0	6	244	-	X	0	83.8	86.7	3	243	-	P05737-P35178-EXP-5z3g.pdb1-J-0-X-0.pdb	YGL076C	RPL7A	P05737	YDR087C	RRP1	P35178	YDR087C	YGL076C
YDR087C_YOL120C	1	0	Structure	5z3g	1	U	0	100.0	72.0	15	148	-	X	0	83.8	86.7	3	243	-	P0CX49-P35178-EXP-5z3g.pdb1-U-0-X-0.pdb	YOL120C	RPL18A	P0CX49	YDR087C	RRP1	P35178	YDR087C	YOL120C
YBR031W_YDR087C	1	0	Structure	5z3g	1	G	0	100.0	99.7	2	362	-	X	0	83.8	86.7	3	243	-	P10664-P35178-EXP-5z3g.pdb1-G-0-X-0.pdb	YBR031W	RPL4A	P10664	YDR087C	RRP1	P35178	YBR031W	YDR087C
YAL025C_YDR087C	1	0	Structure	5z3g	1	Z	0	100.0	55.2	2	170	-	X	0	83.8	86.7	3	243	-	P10962-P35178-EXP-5z3g.pdb1-Z-0-X-0.pdb	YAL025C	MAK16	P10962	YDR087C	RRP1	P35178	YAL025C	YDR087C
YBR191W_YGL076C	1	0	Structure	4v7f	1	a	0	100.0	91.0	23	244	-	T	0	100.0	99.4	2	160	-	P05737-Q02753-EXP-4v7f.pdb1-a-0-T-0.pdb	YGL076C	RPL7A	P05737	YBR191W	RPL21A	Q02753	YBR191W	YGL076C
YBR191W_YMR242C	1	0	Structure	4v7f	1	S	0	100.0	100.0	1	172	-	T	0	100.0	99.4	2	160	-	P0CX23-Q02753-EXP-4v7f.pdb1-S-0-T-0.pdb	YMR242C	RPL20A	P0CX23	YBR191W	RPL21A	Q02753	YBR191W	YMR242C
YGL147C_YKL006W	1	0	Structure	5z3g	1	L	0	100.0	100.0	1	191	-	Q	0	100.0	99.3	2	138	-	P05738-P36105-EXP-5z3g.pdb1-L-0-Q-0.pdb	YGL147C	RPL9A	P05738	YKL006W	RPL14A	P36105	YGL147C	YKL006W
YKL006W_YMR242C	1	0	Structure	6em3	1	S	0	100.0	98.8	3	172	-	M	0	100.0	97.1	4	137	-	P0CX23-P36105-EXP-6em3.pdb1-S-0-M-0.pdb	YMR242C	RPL20A	P0CX23	YKL006W	RPL14A	P36105	YKL006W	YMR242C
YIL133C_YKL006W	1	0	Structure	5z3g	1	S	0	100.0	99.0	3	199	-	Q	0	100.0	99.3	2	138	-	P26784-P36105-EXP-5z3g.pdb1-S-0-Q-0.pdb	YIL133C	RPL16A	P26784	YKL006W	RPL14A	P36105	YIL133C	YKL006W
YHR088W_YKL180W	1	0	Structure	5z3g	1	T	0	90.1	82.1	10	160	-	O	0	91.3	70.5	88	295	-	P05740-P38805-EXP-5z3g.pdb1-T-0-O-0.pdb	YKL180W	RPL17A	P05740	YHR088W	RPF1	P38805	YHR088W	YKL180W
YAL025C_YHR088W	1	0	Structure	5z3g	1	Z	0	100.0	55.2	2	170	-	O	0	91.3	70.5	88	295	-	P10962-P38805-EXP-5z3g.pdb1-Z-0-O-0.pdb	YAL025C	MAK16	P10962	YHR088W	RPF1	P38805	YAL025C	YHR088W
YBL092W_YHR088W	1	0	Structure	5z3g	1	i	0	100.0	95.4	5	128	-	O	0	91.3	70.5	88	295	-	P38061-P38805-EXP-5z3g.pdb1-i-0-O-0.pdb	YBL092W	RPL32	P38061	YHR088W	RPF1	P38805	YBL092W	YHR088W
YER002W_YLR344W	1	0	Structure	6c0f	1	Y	0	100.0	99.2	2	127	-	7	0	68.4	98.7	1	228	-	P05743-P40007-EXP-6c0f.pdb1-Y-0-7-0.pdb	YLR344W	RPL26A	P05743	YER002W	NOP16	P40007	YER002W	YLR344W
YDL191W_YER002W	1	0	Structure	6c0f	1	h	0	100.0	99.2	2	120	-	7	0	68.4	98.7	1	228	-	P0CX84-P40007-EXP-6c0f.pdb1-h-0-7-0.pdb	YDL191W	RPL35A	P0CX84	YER002W	NOP16	P40007	YDL191W	YER002W
YBR031W_YER002W	1	0	Structure	6c0f	1	C	0	90.8	95.6	2	347	-	7	0	68.4	98.7	1	228	-	P10664-P40007-EXP-6c0f.pdb1-C-0-7-0.pdb	YBR031W	RPL4A	P10664	YER002W	NOP16	P40007	YBR031W	YER002W
YER002W_YHL033C	1	0	Structure	6c0f	1	G	0	100.0	73.0	53	239	-	7	0	68.4	98.7	1	228	-	P17076-P40007-EXP-6c0f.pdb1-G-0-7-0.pdb	YHL033C	RPL8A	P17076	YER002W	NOP16	P40007	YER002W	YHL033C
YDR012W_YLR344W	1	0	Structure	2wwb	1	L	0	100.0	100.0	1	127	-	H	0	100.0	74.3	1	269	-	P05743-P49626-EXP-2wwb.pdb1-L-0-H-0.pdb	YLR344W	RPL26A	P05743	YDR012W	RPL4B	P49626	YDR012W	YLR344W
YIL133C_YPL143W	1	0	Structure	6em3	1	f	0	100.0	99.1	2	107	-	O	0	100.0	99.0	3	199	-	P05744-P26784-EXP-6em3.pdb1-f-0-O-0.pdb	YPL143W	RPL33A	P05744	YIL133C	RPL16A	P26784	YIL133C	YPL143W
YIL133C_YMR242C	1	0	Structure	6em3	1	S	0	100.0	98.8	3	172	-	O	0	100.0	99.0	3	199	-	P0CX23-P26784-EXP-6em3.pdb1-S-0-O-0.pdb	YMR242C	RPL20A	P0CX23	YIL133C	RPL16A	P26784	YIL133C	YMR242C
YIL133C_YOR063W	1	0	Structure	5z3g	1	F	0	89.4	97.2	12	387	-	S	0	100.0	99.0	3	199	-	P14126-P26784-EXP-5z3g.pdb1-F-0-S-0.pdb	YOR063W	RPL3	P14126	YIL133C	RPL16A	P26784	YIL133C	YOR063W
YML073C_YPL143W	1	0	Structure	6em3	1	f	0	100.0	99.1	2	107	-	E	0	88.8	96.6	7	176	-	P05744-Q02326-EXP-6em3.pdb1-f-0-E-0.pdb	YPL143W	RPL33A	P05744	YML073C	RPL6A	Q02326	YML073C	YPL143W
YAL025C_YML073C	1	0	Structure	5z3g	1	Z	0	100.0	55.2	2	170	-	I	0	88.8	96.0	8	176	-	P10962-Q02326-EXP-5z3g.pdb1-Z-0-I-0.pdb	YAL025C	MAK16	P10962	YML073C	RPL6A	Q02326	YAL025C	YML073C
YKL006W_YML073C	1	0	Structure	6em3	1	M	0	100.0	97.1	4	137	-	E	0	88.8	96.6	7	176	-	P36105-Q02326-EXP-6em3.pdb1-M-0-E-0.pdb	YKL006W	RPL14A	P36105	YML073C	RPL6A	Q02326	YKL006W	YML073C
YBL092W_YML073C	1	0	Structure	6c0f	1	e	0	91.9	95.4	7	130	-	E	0	100.0	96.6	7	176	-	P38061-Q02326-EXP-6c0f.pdb1-e-0-E-0.pdb	YBL092W	RPL32	P38061	YML073C	RPL6A	Q02326	YBL092W	YML073C
YHR088W_YML073C	1	0	Structure	6c0f	1	I	0	100.0	97.6	8	295	-	E	0	100.0	96.6	7	176	-	P38805-Q02326-EXP-6c0f.pdb1-I-0-E-0.pdb	YHR088W	RPF1	P38805	YML073C	RPL6A	Q02326	YHR088W	YML073C
YMR194W_YMR290C	1	0	Structure	6c0f	1	i	0	100.0	84.0	17	100	-	p	0	97.5	88.7	42	489	-	P05745-Q03532-EXP-6c0f.pdb1-i-0-p-0.pdb	YMR194W	RPL36A	P05745	YMR290C	HAS1	Q03532	YMR194W	YMR290C
YHR052W_YMR290C	1	0	Structure	6em3	1	K	0	92.8	70.5	31	295	-	D	0	90.2	42.6	267	481	-	P38779-Q03532-EXP-6em3.pdb1-K-0-D-0.pdb	YHR052W	CIC1	P38779	YMR290C	HAS1	Q03532	YHR052W	YMR290C
YER002W_YMR290C	1	0	Structure	6c0f	1	7	0	68.4	98.7	1	228	-	p	0	97.5	88.7	42	489	-	P40007-Q03532-EXP-6c0f.pdb1-7-0-p-0.pdb	YER002W	NOP16	P40007	YMR290C	HAS1	Q03532	YER002W	YMR290C
YMR049C_YMR194W	1	0	Structure	6c0f	1	i	0	100.0	84.0	17	100	-	s	0	53.5	19.5	239	395	-	P05745-Q04660-EXP-6c0f.pdb1-i-0-s-0.pdb	YMR194W	RPL36A	P05745	YMR049C	ERB1	Q04660	YMR049C	YMR194W
YHR010W_YMR049C	1	0	Structure	6cb1	1	Z	0	100.0	99.3	2	136	-	s	0	77.2	70.5	239	807	-	P0C2H6-Q04660-EXP-6cb1.pdb1-Z-0-s-0.pdb	YHR010W	RPL27A	P0C2H6	YMR049C	ERB1	Q04660	YHR010W	YMR049C
YHL033C_YMR049C	1	0	Structure	6em3	1	G	0	97.0	64.1	70	233	-	B	0	92.9	19.1	244	397	-	P17076-Q04660-EXP-6em3.pdb1-G-0-B-0.pdb	YHL033C	RPL8A	P17076	YMR049C	ERB1	Q04660	YHL033C	YMR049C
YER002W_YMR049C	1	0	Structure	6c0f	1	7	0	68.4	98.7	1	228	-	s	0	53.5	19.5	239	395	-	P40007-Q04660-EXP-6c0f.pdb1-7-0-s-0.pdb	YER002W	NOP16	P40007	YMR049C	ERB1	Q04660	YER002W	YMR049C
YMR049C_YNL002C	1	0	Structure	6em3	1	t	0	92.2	83.5	54	322	-	B	0	92.9	19.1	244	397	-	P40693-Q04660-EXP-6em3.pdb1-t-0-B-0.pdb	YNL002C	RLP7	P40693	YMR049C	ERB1	Q04660	YMR049C	YNL002C
YLR325C_YMR049C	1	0	Structure	6em5	1	k	0	100.0	98.7	2	78	-	m	0	94.4	84.6	125	807	-	P49167-Q04660-EXP-6em5.pdb1-k-0-m-0.pdb	YLR325C	RPL38	P49167	YMR049C	ERB1	Q04660	YLR325C	YMR049C
YGR103W_YMR049C	1	0	Structure	6em3	1	n	0	82.5	48.4	15	307	-	B	0	92.9	19.1	244	397	-	P53261-Q04660-EXP-6em3.pdb1-n-0-B-0.pdb	YGR103W	NOP7	P53261	YMR049C	ERB1	Q04660	YGR103W	YMR049C
YMR049C_YMR290C	1	0	Structure	6c0f	1	p	0	97.5	88.7	42	489	-	s	0	53.5	19.5	239	395	-	Q03532-Q04660-EXP-6c0f.pdb1-p-0-s-0.pdb	YMR290C	HAS1	Q03532	YMR049C	ERB1	Q04660	YMR049C	YMR290C
YMR194W_YOL077C	1	0	Structure	5z3g	1	m	0	100.0	67.0	32	98	-	a	0	92.2	79.0	26	255	-	P05745-Q08235-EXP-5z3g.pdb1-m-0-a-0.pdb	YMR194W	RPL36A	P05745	YOL077C	BRX1	Q08235	YMR194W	YOL077C
YOL077C_YOL120C	1	0	Structure	6c0f	1	Q	0	100.0	71.0	15	146	-	b	0	86.2	89.3	31	290	-	P0CX49-Q08235-EXP-6c0f.pdb1-Q-0-b-0.pdb	YOL120C	RPL18A	P0CX49	YOL077C	BRX1	Q08235	YOL077C	YOL120C
YBR031W_YOL077C	1	0	Structure	6c0f	1	C	0	90.8	95.6	2	347	-	b	0	86.2	89.3	31	290	-	P10664-Q08235-EXP-6c0f.pdb1-C-0-b-0.pdb	YBR031W	RPL4A	P10664	YOL077C	BRX1	Q08235	YBR031W	YOL077C
YDR087C_YOL077C	1	0	Structure	6c0f	1	z	0	96.0	91.0	1	253	-	b	0	86.2	89.3	31	290	-	P35178-Q08235-EXP-6c0f.pdb1-z-0-b-0.pdb	YDR087C	RRP1	P35178	YOL077C	BRX1	Q08235	YDR087C	YOL077C
YKL172W_YOL077C	1	0	Structure	5z1g	2	C	0	100.0	23.2	195	293	-	B	0	92.2	79.0	26	255	-	P36049-Q08235-EXP-5z1g.pdb2-C-0-B-0.pdb	YKL172W	EBP2	P36049	YOL077C	BRX1	Q08235	YKL172W	YOL077C
YER002W_YOL077C	1	0	Structure	6c0f	1	7	0	68.4	98.7	1	228	-	b	0	86.2	89.3	31	290	-	P40007-Q08235-EXP-6c0f.pdb1-7-0-b-0.pdb	YER002W	NOP16	P40007	YOL077C	BRX1	Q08235	YER002W	YOL077C
YMR049C_YOL077C	1	0	Structure	6em5	1	m	0	94.4	84.6	125	807	-	A	0	93.4	72.9	28	239	-	Q04660-Q08235-EXP-6em5.pdb1-m-0-A-0.pdb	YMR049C	ERB1	Q04660	YOL077C	BRX1	Q08235	YMR049C	YOL077C
YBR247C_YNL178W	1	0	Structure	6fai	1	D	0	99.5	82.1	3	199	-	i	0	100.0	54.2	205	466	-	P05750-P38333-EXP-6fai.pdb1-D-0-i-0.pdb	YNL178W	RPS3	P05750	YBR247C	ENP1	P38333	YBR247C	YNL178W
YBR247C_YKL143W	1	0	Structure	5wwo	1	C	0	100.0	9.9	360	405	-	A	0	99.6	54.2	205	466	-	P34078-P38333-EXP-5wwo.pdb1-C-0-A-0.pdb	YKL143W	LTV1	P34078	YBR247C	ENP1	P38333	YBR247C	YKL143W
YHL015W_YNL178W	1	0	Structure	6fai	1	D	0	99.5	82.1	3	199	-	U	0	100.0	85.1	19	121	-	P05750-P38701-EXP-6fai.pdb1-D-0-U-0.pdb	YNL178W	RPS3	P05750	YHL015W	RPS20	P38701	YHL015W	YNL178W
YLR388W_YNL178W	1	0	Structure	6fai	1	D	0	99.5	82.1	3	199	-	d	0	100.0	66.1	20	56	-	P05750-P41057-EXP-6fai.pdb1-D-0-d-0.pdb	YNL178W	RPS3	P05750	YLR388W	RPS29A	P41057	YLR388W	YNL178W
YBR247C_YLR388W	1	0	Structure	6fai	1	i	0	100.0	54.2	205	466	-	d	0	100.0	66.1	20	56	-	P38333-P41057-EXP-6fai.pdb1-i-0-d-0.pdb	YBR247C	ENP1	P38333	YLR388W	RPS29A	P41057	YBR247C	YLR388W
YHL015W_YLR388W	1	0	Structure	6fai	1	U	0	100.0	85.1	19	121	-	d	0	100.0	66.1	20	56	-	P38701-P41057-EXP-6fai.pdb1-U-0-d-0.pdb	YHL015W	RPS20	P38701	YLR388W	RPS29A	P41057	YHL015W	YLR388W
YNL178W_YPL239W	1	0	Structure	4bsz	1	A	1	100.0	77.9	12	198	-	B	3	100.0	75.0	7	156	-	P05750-P46683-EXP-4bsz.pdb1-A-1-B-3.pdb	YNL178W	RPS3	P05750	YPL239W	YAR1	P46683	YNL178W	YPL239W
YNL178W_YOR293W	1	0	Structure	6rbe	1	D	0	100.0	92.9	3	225	-	K	0	100.0	91.4	1	96	-	P05750-Q08745-EXP-6rbe.pdb1-D-0-K-0.pdb	YNL178W	RPS3	P05750	YOR293W	RPS10A	Q08745	YNL178W	YOR293W
YLR388W_YOR293W	1	0	Structure	6rbe	1	d	0	100.0	94.6	4	56	-	K	0	100.0	91.4	1	96	-	P41057-Q08745-EXP-6rbe.pdb1-d-0-K-0.pdb	YLR388W	RPS29A	P41057	YOR293W	RPS10A	Q08745	YLR388W	YOR293W
YDR025W_YDR064W	1	0	Structure	6eml	1	Y	0	100.0	99.3	2	151	-	X	0	100.0	99.4	2	156	-	P05756-P0CX47-EXP-6eml.pdb1-Y-0-X-0.pdb	YDR064W	RPS13	P05756	YDR025W	RPS11A	P0CX47	YDR025W	YDR064W
YDR025W_YJL190C	1	0	Structure	6fai	1	W	0	100.0	99.2	2	130	-	L	0	100.0	89.7	6	145	-	P0C0W1-P0CX47-EXP-6fai.pdb1-W-0-L-0.pdb	YJL190C	RPS22A	P0C0W1	YDR025W	RPS11A	P0CX47	YDR025W	YJL190C
YDR025W_YGR118W	1	0	Structure	6fai	1	X	0	100.0	99.3	2	145	-	L	0	100.0	89.7	6	145	-	P0CX29-P0CX47-EXP-6fai.pdb1-X-0-L-0.pdb	YGR118W	RPS23A	P0CX29	YDR025W	RPS11A	P0CX47	YDR025W	YGR118W
YBL072C_YDR025W	1	0	Structure	6fai	1	I	0	94.5	99.5	2	200	-	L	0	100.0	89.7	6	145	-	P0CX39-P0CX47-EXP-6fai.pdb1-I-0-L-0.pdb	YBL072C	RPS8A	P0CX39	YDR025W	RPS11A	P0CX47	YBL072C	YDR025W
YDR064W_YOR096W	1	0	Structure	6fai	1	N	0	100.0	99.3	2	151	-	H	0	100.0	96.8	4	187	-	P05756-P26786-EXP-6fai.pdb1-N-0-H-0.pdb	YDR064W	RPS13	P05756	YOR096W	RPS7A	P26786	YDR064W	YOR096W
YJL190C_YOR096W	1	0	Structure	6fai	1	W	0	100.0	99.2	2	130	-	H	0	100.0	96.8	4	187	-	P0C0W1-P26786-EXP-6fai.pdb1-W-0-H-0.pdb	YJL190C	RPS22A	P0C0W1	YOR096W	RPS7A	P26786	YJL190C	YOR096W
YDR064W_YKL156W	1	0	Structure	6fai	1	N	0	100.0	99.3	2	151	-	b	0	100.0	98.8	2	82	-	P05756-P35997-EXP-6fai.pdb1-N-0-b-0.pdb	YDR064W	RPS13	P05756	YKL156W	RPS27A	P35997	YDR064W	YKL156W
YKL156W_YKR057W	1	0	Structure	6fai	1	V	0	100.0	100.0	1	87	-	b	0	100.0	98.8	2	82	-	P0C0V8-P35997-EXP-6fai.pdb1-V-0-b-0.pdb	YKR057W	RPS21A	P0C0V8	YKL156W	RPS27A	P35997	YKL156W	YKR057W
YJL190C_YKL156W	1	0	Structure	6fai	1	W	0	100.0	99.2	2	130	-	b	0	100.0	98.8	2	82	-	P0C0W1-P35997-EXP-6fai.pdb1-W-0-b-0.pdb	YJL190C	RPS22A	P0C0W1	YKL156W	RPS27A	P35997	YJL190C	YKL156W
YKL210W_YLR167W	1	0	Structure	5tr4	1	B	0	100.0	50.0	1	76	-	A	0	95.9	98.7	14	1024	-	P05759-P22515-EXP-5tr4.pdb1-B-0-A-0.pdb	YLR167W	RPS31	P05759	YKL210W	UBA1	P22515	YKL210W	YLR167W
YKL210W_YLL039C	1	0	Structure	5tr4	1	B	0	100.0	19.9	153	228	-	A	0	95.9	98.7	14	1024	-	P0CG63-P22515-EXP-5tr4.pdb1-B-0-A-0.pdb	YLL039C	UBI4	P0CG63	YKL210W	UBA1	P22515	YKL210W	YLL039C
YDR054C_YKL210W	1	0	Structure	6nya	1	C	0	95.0	60.7	3	181	-	A	0	97.3	99.0	11	1024	-	P14682-P22515-EXP-6nya.pdb1-C-0-A-0.pdb	YDR054C	CDC34	P14682	YKL210W	UBA1	P22515	YDR054C	YKL210W
YKL210W_YKL210W	1	0	Structure	4nnj	1	C	0	99.2	99.0	11	1024	-	A	0	99.2	99.0	11	1024	-	P22515-P22515-EXP-4nnj.pdb1-C-0-A-0.pdb	YKL210W	UBA1	P22515	YKL210W	UBA1	P22515	YKL210W	YKL210W
YER125W_YLR167W	1	0	Structure	3olm	1	D	0	100.0	48.7	1	74	-	A	0	98.1	51.9	385	804	-	P05759-P39940-EXP-3olm.pdb1-D-0-A-0.pdb	YLR167W	RPS31	P05759	YER125W	RSP5	P39940	YER125W	YLR167W
YER125W_YLL039C	1	0	Structure	3olm	3	D	0	100.0	19.4	229	302	-	A	0	98.1	51.9	385	804	-	P0CG63-P39940-EXP-3olm.pdb3-D-0-A-0.pdb	YLL039C	UBI4	P0CG63	YER125W	RSP5	P39940	YER125W	YLL039C
YER125W_YJL151C	1	0	Structure	4lcd	2	D	0	100.0	10.5	104	117	-	B	0	96.9	52.3	384	806	-	P14359-P39940-EXP-4lcd.pdb2-D-0-B-0.pdb	YJL151C	SNA3	P14359	YER125W	RSP5	P39940	YER125W	YJL151C
YFR004W_YLR167W	1	0	Structure	5u4p	2	C	1	100.0	50.0	1	76	-	B	1	82.0	63.4	24	217	-	P05759-P43588-EXP-5u4p.pdb2-C-1-B-1.pdb	YLR167W	RPS31	P05759	YFR004W	RPN11	P43588	YFR004W	YLR167W
YFR004W_YLL039C	1	0	Structure	5u4p	2	C	1	100.0	19.9	153	228	-	B	1	82.0	63.4	24	217	-	P0CG63-P43588-EXP-5u4p.pdb2-C-1-B-1.pdb	YLL039C	UBI4	P0CG63	YFR004W	RPN11	P43588	YFR004W	YLL039C
YFR004W_YIL148W	1	0	Structure	5u4p	2	C	1	100.0	59.4	1	76	-	B	1	82.0	63.4	24	217	-	P0CH08-P43588-EXP-5u4p.pdb2-C-1-B-1.pdb	YIL148W	RPL40A	P0CH08	YFR004W	RPN11	P43588	YFR004W	YIL148W
YFR004W_YFR052W	1	0	Structure	3jck	1	H	0	92.5	97.1	7	272	-	G	0	90.8	92.5	24	306	-	P32496-P43588-EXP-3jck.pdb1-H-0-G-0.pdb	YFR052W	RPN12	P32496	YFR004W	RPN11	P43588	YFR004W	YFR052W
YFR004W_YIL075C	1	0	Structure	5mpd	1	N	0	96.5	97.6	4	925	-	V	0	100.0	94.4	18	306	-	P32565-P43588-EXP-5mpd.pdb1-N-0-V-0.pdb	YIL075C	RPN2	P32565	YFR004W	RPN11	P43588	YFR004W	YIL075C
YFR004W_YOR117W	1	0	Structure	6ef3	1	M	0	93.2	91.7	37	434	-	r	0	98.6	92.8	22	305	-	P33297-P43588-EXP-6ef3.pdb1-M-0-r-0.pdb	YOR117W	RPT5	P33297	YFR004W	RPN11	P43588	YFR004W	YOR117W
YDR394W_YFR004W	1	0	Structure	6ef3	1	K	0	96.9	89.3	47	428	-	r	0	98.6	92.8	22	305	-	P33298-P43588-EXP-6ef3.pdb1-K-0-r-0.pdb	YDR394W	RPT3	P33298	YFR004W	RPN11	P43588	YDR394W	YFR004W
YFR004W_YKL145W	1	0	Structure	4cr4	1	H	0	88.0	87.4	49	456	-	V	0	89.5	90.2	23	298	-	P33299-P43588-EXP-4cr4.pdb1-H-0-V-0.pdb	YKL145W	RPT1	P33299	YFR004W	RPN11	P43588	YFR004W	YKL145W
